model,workload,config_id,hash,cls
lfm25,R_medium_balanced,105,cap48_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,106,cap48_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,107,cap48_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,108,cap48_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,109,cap48_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,110,cap48_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,111,cap48_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,112,cap48_chunk8192_pollpm_mem0.75,WIN
lfm25,R_medium_balanced,113,cap48_chunk8192_pollpm_mem0.8,FLAT
lfm25,R_medium_balanced,114,cap48_chunk8192_pollpm_mem0.85,FLAT
lfm25,R_medium_balanced,115,cap48_chunk8192_pollpm_mem0.9,FLAT
lfm25,R_medium_balanced,116,cap48_chunk8192_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,117,cap48_chunk8192_polfcfs_mem0.8,WIN
lfm25,R_medium_balanced,118,cap48_chunk8192_polfcfs_mem0.85,WIN
lfm25,R_medium_balanced,119,cap48_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,120,cap64_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,121,cap64_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,122,cap64_chunk-1_pollpm_mem0.85,FLAT
lfm25,R_medium_balanced,123,cap64_chunk-1_pollpm_mem0.9,WIN
lfm25,R_medium_balanced,124,cap64_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_medium_balanced,125,cap64_chunk-1_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,126,cap64_chunk-1_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,127,cap64_chunk-1_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,128,cap64_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,129,cap64_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,130,cap64_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,131,cap64_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,132,cap64_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,133,cap64_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,134,cap64_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,135,cap64_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,136,cap64_chunk8192_pollpm_mem0.75,WIN
lfm25,R_medium_balanced,137,cap64_chunk8192_pollpm_mem0.8,WIN
lfm25,R_medium_balanced,138,cap64_chunk8192_pollpm_mem0.85,REGRESSION
